Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
caja-24-sets-3-cepillos-limpieza-bano,Caja 24 Sets 3 Cepillos Limpieza Baño Colores Pastel,"Set de cerdas de nylon de alta densidad para limpieza profunda de grietas, ranuras y sanitarios. Mangos antiderrapantes en tonos pastel. Caja de 24 sets.",Importaciones La Llamarada,Artículos de Limpieza,Artículos de Limpieza,"Artículos de Limpieza, Limpieza, Cepillos, Mayoreo",TRUE,Title,Default Title,LL-LIM-001,1000,shopify,100,deny,manual,1080.00,1320.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-limpieza-1.png,active
caja-12-cepillos-premium-acero-inoxidable,Caja 12 Cepillos Premium Acero Inoxidable Base Rosa,Escobillas de baño de lujo con soporte sanitario sellado en acabado rosa mate y mango cromado antioxidante. Caja mayorista de 12 piezas.,Importaciones La Llamarada,Artículos de Limpieza,Artículos de Limpieza,"Artículos de Limpieza, Limpieza, Premium, Mayoreo",TRUE,Title,Default Title,LL-LIM-002,1000,shopify,100,deny,manual,1020.00,1200.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-limpieza-2.png,active
fardo-50-paquetes-panos-microfibra-industrial,Fardo 50 Paquetes Paños Microfibra Industrial Neón,"Paños de microfibra ultrasuaves de 30x30cm, absorbentes y libres de pelusa. Ideales para superficies de cristal, autos y cocina. Fardo mayorista de 50 paquetes.",Importaciones La Llamarada,Artículos de Limpieza,Artículos de Limpieza,"Artículos de Limpieza, Limpieza, Microfibra, Mayoreo",TRUE,Title,Default Title,LL-LIM-003,1000,shopify,100,deny,manual,1125.00,1500.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-limpieza-3.png,active
caja-36-atomizadores-industriales-translucidos,Caja 36 Atomizadores Industriales Translúcidos 1 Litro,Botellas rociadoras de polietileno de alta densidad con boquilla regulable de bruma a chorro directo. Capacidad de 1000ml. Caja de 36 piezas.,Importaciones La Llamarada,Artículos de Limpieza,Artículos de Limpieza,"Artículos de Limpieza, Limpieza, Atomizador, Mayoreo",TRUE,Title,Default Title,LL-LIM-004,1000,shopify,100,deny,manual,648.00,864.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-limpieza-4.png,active
lote-30-baberos-silicon-ajustables-pastel,Lote 30 Baberos Silicón Ajustables Impermeables Tonos Pastel,Baberos con recogedor de migajas profundo fabricados en silicona de grado alimenticio 100% libre de BPA. Fáciles de enrollar y limpiar. Lote mayorista de 30 piezas.,Importaciones La Llamarada,Bebés,Bebés,"Bebés, Baberos, Silicón, Mayoreo",TRUE,Title,Default Title,LL-BEB-001,1000,shopify,100,deny,manual,1050.00,1350.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-bibs.png,active
caja-24-morderas-silicona-grado-alimenticio,Caja 24 Morderas de Silicona Grado Alimenticio con Estuche,Mordederas de dentición con texturas estimulantes para encías infantiles. Incluyen estuche protector transparente. Caja de 24 piezas.,Importaciones La Llamarada,Bebés,Bebés,"Bebés, Morderas, Mayoreo",TRUE,Title,Default Title,LL-BEB-002,1000,shopify,100,deny,manual,600.00,780.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-more-3.png,active
lote-15-aspiradores-nasales-electricos-bebe,Lote 15 Aspiradores Nasales Eléctricos para Bebé,"Extractores de mucosidad infantil con 3 niveles de succión suave, música relajante y boquillas de silicona lavable. Lote mayorista de 15 piezas.",Importaciones La Llamarada,Bebés,Bebés,"Bebés, Cuidado Bebé, Mayoreo",TRUE,Title,Default Title,LL-BEB-003,1000,shopify,100,deny,manual,2100.00,2700.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-brushes.png,active
caja-48-paquetes-botanas-surtidas-250g,Caja 48 Paquetes Botanas Surtidas 250g,Mix de botanas crujientes saladas y enchiladas en empaques de sellado hermético para mantener frescura. Caja mayorista de 48 paquetes.,Importaciones La Llamarada,Abarrotes,Abarrotes,"Abarrotes, Snacks, Botanas, Mayoreo",TRUE,Title,Default Title,LL-ABA-001,1000,shopify,100,deny,manual,720.00,960.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-more-1.png,active
caja-24-frascos-mermelada-artesanal-350g,Caja 24 Frascos Mermelada Artesanal Surtida 350g,"Mermeladas de fruta natural baja en azúcar en sabores Fresa, Zarzamora, Durazno y Mango-Chipotle. Caja de 24 frascos de vidrio de 350g.",Importaciones La Llamarada,Abarrotes,Abarrotes,"Abarrotes, Alimentos, Mayoreo",TRUE,Title,Default Title,LL-ABA-002,1000,shopify,100,deny,manual,768.00,960.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-candles.png,active
lote-30-cajas-te-organico-sabores-surtidos,Lote 30 Cajas Té Orgánico Sabores Surtidos 20 sobres,"Infusiones herbales orgánicas en sobres individuales compostables. Variedades de Manzanilla-Lavanda, Té Verde-Menta y Jengibre-Limón. Lote de 30 cajas.",Importaciones La Llamarada,Abarrotes,Abarrotes,"Abarrotes, Bebidas, Té, Mayoreo",TRUE,Title,Default Title,LL-ABA-003,1000,shopify,100,deny,manual,840.00,1050.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-more-4.png,active
